cust_id,transaction_type,transaction_date,subscription_type,subscription_price
38,REDUCTION,2022-07-01,BASIC,50
39,initial,2020-08-01,PRO,100
39,UPGRADE,2022-04-01,MAX,150
39,CHURN,2022-07-01,MAX,150
40,initial,2020-12-01,MAX,150
40,REDUCTION,2021-10-01,BASIC,50
40,CHURN,2022-04-01,BASIC,50
41,initial,2021-08-01,MAX,150
41,REDUCTION,2022-10-01,BASIC,50
42,initial,2021-06-01,BASIC,50
43,initial,2020-04-01,MAX,150
43,REDUCTION,2021-10-01,PRO,100
44,initial,2021-11-01,PRO,100
44,REDUCTION,2022-08-01,BASIC,50
45,initial,2022-02-01,PRO,100
45,UPGRADE,2022-11-01,MAX,150
46,initial,2021-10-01,PRO,100
46,UPGRADE,2022-03-01,MAX,150
47,initial,2020-10-01,BASIC,50
47,UPGRADE,2021-06-01,MAX,150
48,initial,2020-05-01,MAX,150
48,REDUCTION,2021-02-01,PRO,100
48,CHURN,2021-03-24,PRO,100
49,initial,2022-09-01,MAX,150
50,initial,2022-06-01,MAX,150
51,initial,2021-12-01,BASIC,50
51,CHURN,2022-07-01,BASIC,50
52,initial,2021-12-01,MAX,150
52,REDUCTION,2022-06-01,PRO,100
53,initial,2020-06-01,PRO,100
53,UPGRADE,2021-01-01,MAX,150
54,initial,2022-07-01,PRO,100
55,initial,2022-01-01,BASIC,50
56,initial,2020-05-01,PRO,100
56,UPGRADE,2022-04-01,MAX,150
57,initial,2022-03-01,PRO,100
58,initial,2022-01-01,BASIC,50
59,initial,2022-01-01,MAX,150
59,REDUCTION,2022-11-01,BASIC,50
60,initial,2020-08-01,BASIC,50
60,CHURN,2021-03-01,BASIC,50
61,initial,2022-06-01,PRO,100
62,initial,2021-03-01,PRO,100
62,UPGRADE,2021-10-01,MAX,150
62,CHURN,2022-07-01,MAX,150
63,initial,2020-08-01,MAX,150
63,REDUCTION,2020-11-01,PRO,100
64,initial,2020-02-01,MAX,150
64,REDUCTION,2020-04-01,PRO,100
64,CHURN,2020-09-27,PRO,100
65,initial,2021-06-01,BASIC,50
65,CHURN,2022-03-01,BASIC,50
66,initial,2020-11-01,PRO,100
66,REDUCTION,2022-04-01,BASIC,50
67,initial,2022-10-01,PRO,100
68,initial,2020-09-01,MAX,150
68,REDUCTION,2022-04-01,BASIC,50
69,initial,2022-02-01,PRO,100
69,UPGRADE,2022-11-01,MAX,150
70,initial,2022-07-01,PRO,100
71,initial,2021-02-01,PRO,100
71,REDUCTION,2021-08-01,BASIC,50
71,CHURN,2022-05-01,BASIC,50
72,initial,2020-09-01,MAX,150
72,REDUCTION,2022-02-01,BASIC,50
73,initial,2022-05-01,PRO,100
74,initial,2022-08-01,MAX,150
75,initial,2021-07-01,BASIC,50
76,initial,2022-06-01,PRO,100
76,REDUCTION,2022-11-01,BASIC,50
77,initial,2020-01-01,BASIC,50
77,UPGRADE,2021-11-01,PRO,100
78,initial,2020-03-01,PRO,100
78,UPGRADE,2022-02-01,MAX,150
79,initial,2022-07-01,PRO,100
80,initial,2021-01-01,PRO,100
80,REDUCTION,2022-07-01,BASIC,50
81,initial,2020-11-01,MAX,150
81,REDUCTION,2022-01-01,PRO,100
81,CHURN,2022-10-01,PRO,100
82,initial,2022-09-01,BASIC,50
83,initial,2022-09-01,BASIC,50
84,initial,2020-09-01,MAX,150
84,REDUCTION,2020-10-01,PRO,100
85,initial,2021-10-01,PRO,100
86,initial,2022-04-01,PRO,100
86,REDUCTION,2022-08-01,BASIC,50
87,initial,2020-01-01,MAX,150
87,REDUCTION,2020-06-01,BASIC,50
88,initial,2022-06-01,BASIC,50
89,initial,2021-03-01,MAX,150
89,REDUCTION,2021-05-01,BASIC,50
90,initial,2020-12-01,BASIC,50
90,CHURN,2021-04-01,BASIC,50
91,initial,2020-10-01,MAX,150
91,REDUCTION,2021-09-01,BASIC,50
92,initial,2022-09-01,PRO,100
93,initial,2022-10-01,PRO,100
94,initial,2022-11-01,PRO,100
95,initial,2020-11-01,BASIC,50
95,UPGRADE,2021-06-01,MAX,150
96,initial,2021-05-01,MAX,150
96,REDUCTION,2022-10-01,PRO,100
97,initial,2022-05-01,MAX,150
98,initial,2022-01-01,BASIC,50
99,initial,2022-06-01,MAX,150
100,initial,2022-08-01,BASIC,50
101,initial,2021-12-01,BASIC,50
101,UPGRADE,2022-08-01,PRO,100
102,initial,2022-12-01,PRO,100
103,initial,2022-11-01,PRO,100
104,initial,2021-06-01,MAX,150
104,REDUCTION,2021-09-01,BASIC,50
104,CHURN,2022-08-01,BASIC,50
105,initial,2020-09-01,PRO,100
105,UPGRADE,2022-07-01,MAX,150
106,initial,2020-12-01,MAX,150
106,REDUCTION,2021-08-01,PRO,100
106,CHURN,2022-06-01,PRO,100
107,initial,2021-11-01,MAX,150
107,REDUCTION,2022-07-01,PRO,100
"""108""",initial,2020-11-01,BASIC,50
108,UPGRADE,2022-11-01,PRO,100
109,initial,2020-04-01,PRO,100
109,CHURN,2020-07-01,PRO,100
110,initial,2022-11-01,BASIC,50
111,initial,2020-01-01,PRO,100
111,UPGRADE,2022-04-01,MAX,150
111,CHURN,2022-08-01,MAX,150
112,initial,2021-06-01,BASIC,50
112,UPGRADE,2022-08-01,MAX,150
113,initial,2021-10-01,MAX,150
113,CHURN,2022-11-01,MAX,150
114,initial,2021-01-01,PRO,100
114,REDUCTION,2022-08-01,BASIC,50
115,initial,2021-11-01,BASIC,50
116,initial,2020-07-01,PRO,100
116,REDUCTION,2021-03-01,BASIC,50
117,initial,2021-11-01,PRO,100
117,UPGRADE,2022-06-01,MAX,150
117,CHURN,2022-07-01,PRO,100
"""118""",initial,2020-10-01,BASIC,50
118,CHURN,2021-02-01,BASIC,50
119,initial,2022-01-01,BASIC,50
119,CHURN,2022-10-01,BASIC,50
"""120""",initial,2020-09-01,BASIC,50
120,CHURN,2021-03-01,BASIC,50
121,initial,2020-10-01,PRO,100
121,REDUCTION,2021-09-01,BASIC,50
121,CHURN,2022-07-01,BASIC,50
122,initial,2020-10-01,MAX,150
"""122""",REDUCTION,2021-12-01,PRO,100
123,initial,2020-10-01,BASIC,50
123,UPGRADE,2021-04-01,MAX,150
124,initial,2020-03-01,MAX,150
124,REDUCTION,2021-10-01,BASIC,50
124,CHURN,2022-02-01,BASIC,50
125,initial,2021-01-01,PRO,100
125,UPGRADE,2022-08-01,MAX,150
126,initial,2022-12-01,MAX,150
"""127""",initial,2020-07-01,MAX,150
127,REDUCTION,2022-02-01,BASIC,50
128,initial,2021-09-01,BASIC,50
128,UPGRADE,2021-12-01,PRO,100
128,CHURN,2022-04-01,PRO,100
129,initial,2021-02-01,PRO,100
129,REDUCTION,2022-05-01,BASIC,50
130,initial,2020-09-01,BASIC,50
130,CHURN,2021-02-01,BASIC,50
131,initial,2022-09-01,BASIC,50
132,initial,2020-04-01,BASIC,50
132,UPGRADE,2021-12-01,PRO,100
132,CHURN,2022-09-01,PRO,100
133,initial,2021-11-01,PRO,100
133,UPGRADE,2022-07-01,MAX,150
134,initial,2022-02-01,BASIC,50
134,CHURN,2022-09-01,BASIC,50
135,initial,2022-12-01,BASIC,50
136,initial,2021-02-01,BASIC,50
136,CHURN,2021-12-01,BASIC,50
137,initial,2021-05-01,MAX,150
137,REDUCTION,2022-08-01,PRO,100
138,initial,2020-09-01,MAX,150
138,REDUCTION,2021-06-01,BASIC,50
139,initial,2020-11-01,MAX,150
139,REDUCTION,2021-12-01,PRO,100
"""140""",initial,2021-11-01,PRO,100
141,initial,2022-03-01,PRO,100
141,REDUCTION,2022-07-01,BASIC,50
142,initial,2022-08-01,BASIC,50
143,initial,2022-03-01,BASIC,50
143,CHURN,2022-04-14,BASIC,50
144,initial,2022-07-01,MAX,150
145,initial,2021-07-01,PRO,100
145,UPGRADE,2022-11-01,MAX,150
"""146""",initial,2022-11-01,MAX,150
147,initial,2020-06-01,BASIC,50
147,UPGRADE,2021-01-01,PRO,100
"""147""",CHURN,2021-03-01,BASIC,50
148,initial,2021-10-01,BASIC,50
149,initial,2020-11-01,PRO,100
149,REDUCTION,2021-01-01,BASIC,50
150,initial,2020-08-01,PRO,100
150,CHURN,2021-05-01,PRO,100
151,initial,2020-10-01,PRO,100
151,CHURN,2021-01-01,PRO,100
152,initial,2020-01-01,PRO,100
"""152""",CHURN,2020-04-01,PRO,100
153,initial,2020-11-01,BASIC,50
153,UPGRADE,2022-01-01,MAX,150
154,initial,2020-04-01,PRO,100
154,UPGRADE,2022-04-01,MAX,150
155,initial,2021-10-01,BASIC,50
155,CHURN,2022-06-01,BASIC,50
156,initial,2022-12-01,PRO,100
"""157""",initial,2022-09-01,BASIC,50
158,initial,2021-02-01,BASIC,50
158,CHURN,2021-06-01,BASIC,50
159,initial,2020-02-01,PRO,100
159,UPGRADE,2021-07-01,MAX,150
160,initial,2021-06-01,MAX,150
160,REDUCTION,2021-12-01,BASIC,50
"""161""",initial,2020-09-01,PRO,100
161,REDUCTION,2021-09-01,BASIC,50
162,initial,2022-07-01,MAX,150
163,initial,2020-03-01,BASIC,50
163,UPGRADE,2020-08-01,MAX,150
"""163""",CHURN,2021-06-01,MAX,150
164,initial,2021-03-01,PRO,100
164,REDUCTION,2021-07-01,BASIC,50
164,CHURN,2022-01-01,BASIC,50
165,initial,2021-11-01,BASIC,50
165,UPGRADE,2022-06-01,MAX,150
165,CHURN,2022-09-01,MAX,150
166,initial,2022-01-01,PRO,100
167,initial,2021-06-01,PRO,100
"""167""",REDUCTION,2022-04-01,BASIC,50
168,initial,2021-03-01,MAX,150
168,REDUCTION,2021-05-01,BASIC,50
"""169""",initial,2022-03-01,PRO,100
"""170""",initial,2022-06-01,PRO,100
171,initial,2022-09-01,PRO,100
172,initial,2021-01-01,BASIC,50
172,UPGRADE,2022-01-01,MAX,150
172,CHURN,2022-02-01,BASIC,50
173,initial,2021-03-01,PRO,100
173,REDUCTION,2022-08-01,BASIC,50
174,initial,2022-12-01,PRO,100
175,initial,2020-04-01,MAX,150
175,REDUCTION,2021-04-01,BASIC,50
176,initial,2022-05-01,PRO,100
176,CHURN,2022-08-01,PRO,100
177,initial,2021-05-01,PRO,100
177,REDUCTION,2021-12-01,BASIC,50
177,CHURN,2022-10-01,BASIC,50
178,initial,2021-10-01,BASIC,50
178,UPGRADE,2022-05-01,MAX,150
179,initial,2020-12-01,BASIC,50
180,initial,2022-02-01,BASIC,50
181,initial,2021-12-01,MAX,150
182,initial,2022-04-01,PRO,100
182,CHURN,2022-10-01,PRO,100
183,initial,2020-04-01,BASIC,50
183,UPGRADE,2022-11-01,MAX,150
184,initial,2021-08-01,BASIC,50
184,UPGRADE,2022-11-01,PRO,100
185,initial,2022-02-01,MAX,150
185,REDUCTION,2022-04-01,BASIC,50
185,CHURN,2022-10-16,BASIC,50
186,initial,2022-12-01,PRO,100
187,initial,2021-07-01,PRO,100
187,UPGRADE,2022-05-01,MAX,150
187,CHURN,2022-09-01,MAX,150
188,initial,2021-05-01,BASIC,50
189,initial,2020-12-01,BASIC,50
189,CHURN,2022-01-01,BASIC,50
190,initial,2020-08-01,BASIC,50
190,UPGRADE,2021-11-01,PRO,100
191,initial,2020-08-01,PRO,100
191,UPGRADE,2022-05-01,MAX,150
191,CHURN,2022-08-01,MAX,150
192,initial,2021-10-01,MAX,150
193,initial,2021-12-01,PRO,100
193,REDUCTION,2022-06-01,BASIC,50
194,initial,2022-03-01,BASIC,50
195,initial,2020-07-01,BASIC,50
196,initial,2020-01-01,PRO,100
"""196""",CHURN,2021-02-01,PRO,100
197,initial,2020-04-01,PRO,100
197,UPGRADE,2020-11-01,MAX,150
198,initial,2020-12-01,MAX,150
198,REDUCTION,2021-11-01,BASIC,50
199,initial,2022-09-01,MAX,150
199,REDUCTION,2022-10-01,PRO,100
200,initial,2022-10-01,BASIC,50
201,initial,2020-05-01,BASIC,50
201,UPGRADE,2022-09-01,MAX,150
"""202""",initial,2020-03-01,PRO,100
"""202""",CHURN,2020-09-01,PRO,100
203,initial,2020-01-01,BASIC,50
"""203""",UPGRADE,2020-07-01,MAX,150
204,initial,2021-10-01,BASIC,50
204,CHURN,2022-08-25,BASIC,50
205,initial,2022-08-01,BASIC,50
205,CHURN,2022-10-02,BASIC,50
206,initial,2020-02-01,PRO,100
206,UPGRADE,2020-11-01,MAX,150
206,CHURN,2021-03-01,MAX,150
207,initial,2022-07-01,PRO,100
"""208""",initial,2020-02-01,MAX,150
208,REDUCTION,2020-09-01,BASIC,50
209,initial,2020-07-01,MAX,150
209,REDUCTION,2022-03-01,PRO,100
210,initial,2020-02-01,BASIC,50
210,UPGRADE,2021-02-01,MAX,150
"""210""",CHURN,2021-08-01,MAX,150
211,initial,2022-07-01,MAX,150
212,initial,2022-08-01,BASIC,50
213,initial,2022-11-01,PRO,100
214,initial,2021-07-01,PRO,100
215,initial,2022-05-01,PRO,100
215,REDUCTION,2022-09-01,BASIC,50
"""216""",initial,2021-01-01,BASIC,50
216,UPGRADE,2022-07-01,MAX,150
217,initial,2020-06-01,MAX,150
217,REDUCTION,2021-08-01,PRO,100
218,initial,2022-03-01,PRO,100
218,CHURN,2022-11-01,PRO,100
219,initial,2022-06-01,PRO,100
220,initial,2022-01-01,BASIC,50
"""221""",initial,2020-07-01,PRO,100
221,UPGRADE,2021-10-01,MAX,150
222,initial,2021-11-01,MAX,150
"""223""",initial,2021-10-01,MAX,150
223,CHURN,2022-09-01,MAX,150
224,initial,2022-03-01,BASIC,50
"""224""",CHURN,2022-10-27,BASIC,50
225,initial,2021-11-01,BASIC,50
226,initial,2022-02-01,MAX,150
227,initial,2022-04-01,BASIC,50
228,initial,2022-07-01,MAX,150
229,initial,2022-01-01,PRO,100
229,REDUCTION,2022-02-01,BASIC,50
229,CHURN,2022-05-31,BASIC,50
230,initial,2022-11-01,BASIC,50
231,initial,2022-11-01,BASIC,50
231,CHURN,2022-12-30,BASIC,50
232,initial,2020-04-01,PRO,100
232,UPGRADE,2021-05-01,MAX,150
232,CHURN,2022-03-01,MAX,150
233,initial,2022-08-01,BASIC,50
234,initial,2020-10-01,PRO,100
234,REDUCTION,2022-01-01,BASIC,50
235,initial,2020-11-01,PRO,100
235,UPGRADE,2021-11-01,MAX,150
236,initial,2020-06-01,PRO,100
236,UPGRADE,2020-11-01,MAX,150
236,CHURN,2021-04-01,MAX,150
237,initial,2020-07-01,MAX,150
237,REDUCTION,2021-08-01,PRO,100
238,initial,2021-07-01,BASIC,50
"""239""",initial,2021-08-01,BASIC,50
239,UPGRADE,2022-03-01,PRO,100
240,initial,2021-05-01,MAX,150
240,REDUCTION,2022-01-01,PRO,100
241,initial,2020-01-01,BASIC,50
241,UPGRADE,2022-06-01,PRO,100
242,initial,2021-12-01,BASIC,50
243,initial,2020-10-01,PRO,100
243,REDUCTION,2021-06-01,BASIC,50
244,initial,2022-03-01,BASIC,50
245,initial,2020-02-01,PRO,100
245,UPGRADE,2022-06-01,MAX,150
246,initial,2021-02-01,MAX,150
246,REDUCTION,2021-05-01,BASIC,50
246,CHURN,2022-01-17,BASIC,50
"""247""",initial,2021-07-01,PRO,100
247,UPGRADE,2022-02-01,MAX,150
247,CHURN,2022-03-16,MAX,150
248,initial,2020-07-01,PRO,100
248,REDUCTION,2020-12-01,BASIC,50
249,initial,2021-08-01,BASIC,50
250,initial,2020-05-01,PRO,100
250,UPGRADE,2021-08-01,MAX,150
251,initial,2021-07-01,PRO,100
251,REDUCTION,2022-10-01,BASIC,50
252,initial,2020-08-01,MAX,150
252,REDUCTION,2021-07-01,PRO,100
"""253""",initial,2021-05-01,MAX,150
253,REDUCTION,2022-05-01,BASIC,50
254,initial,2020-10-01,BASIC,50
254,UPGRADE,2021-06-01,PRO,100
255,initial,2020-12-01,PRO,100
255,UPGRADE,2021-12-01,MAX,150
256,initial,2021-06-01,PRO,100
256,REDUCTION,2022-03-01,BASIC,50
256,CHURN,2022-07-01,BASIC,50
257,initial,2020-09-01,PRO,100
257,REDUCTION,2021-07-01,BASIC,50
258,initial,2020-08-01,BASIC,50
258,UPGRADE,2021-08-01,PRO,100
259,initial,2021-09-01,PRO,100
"""259""",UPGRADE,2022-01-01,MAX,150
260,initial,2022-09-01,BASIC,50
261,initial,2020-10-01,BASIC,50
262,initial,2020-05-01,BASIC,50
262,UPGRADE,2021-04-01,PRO,100
263,initial,2020-04-01,BASIC,50
263,CHURN,2020-12-01,BASIC,50
264,initial,2020-01-01,BASIC,50
264,UPGRADE,2022-03-01,PRO,100
265,initial,2020-11-01,BASIC,50
265,UPGRADE,2022-07-01,PRO,100
266,initial,2022-03-01,PRO,100
266,REDUCTION,2022-07-01,BASIC,50
266,CHURN,2023-02-07,BASIC,50
267,initial,2020-03-01,MAX,150
267,REDUCTION,2020-04-01,PRO,100
267,CHURN,2020-10-01,PRO,100
268,initial,2020-08-01,BASIC,50
268,CHURN,2021-02-01,BASIC,50
269,initial,2022-04-01,PRO,100
270,initial,2021-05-01,PRO,100
270,CHURN,2022-04-01,PRO,100
"""271""",initial,2021-07-01,BASIC,50
271,UPGRADE,2022-04-01,MAX,150
271,CHURN,2022-08-01,BASIC,50
272,initial,2020-10-01,PRO,100
272,REDUCTION,2021-10-01,BASIC,50
273,initial,2022-01-01,PRO,100
274,initial,2020-04-01,PRO,100
274,CHURN,2021-02-01,PRO,100
275,initial,2021-06-01,MAX,150
275,REDUCTION,2022-01-01,BASIC,50
"""276""",initial,2022-01-01,BASIC,50
277,initial,2020-04-01,MAX,150
277,REDUCTION,2021-06-01,BASIC,50
278,initial,2022-01-01,PRO,100
278,REDUCTION,2022-11-01,BASIC,50
279,initial,2020-09-01,BASIC,50
279,UPGRADE,2022-06-01,MAX,150
280,initial,2021-09-01,BASIC,50
281,initial,2020-04-01,PRO,100
"""281""",UPGRADE,2020-08-01,MAX,150
282,initial,2022-11-01,MAX,150
283,initial,2022-08-01,BASIC,50
284,initial,2021-11-01,PRO,100
284,REDUCTION,2022-06-01,BASIC,50
285,initial,2021-01-01,BASIC,50
285,UPGRADE,2022-04-01,PRO,100
285,CHURN,2022-08-01,PRO,100
286,initial,2022-11-01,BASIC,50
287,initial,2022-06-01,PRO,100
288,initial,2021-07-01,PRO,100
288,UPGRADE,2022-01-01,MAX,150
289,initial,2020-08-01,PRO,100
289,CHURN,2021-06-01,PRO,100
"""290""",initial,2022-01-01,MAX,150
"""290""",CHURN,2022-07-05,MAX,150
291,initial,2022-12-01,MAX,150
292,initial,2020-05-01,BASIC,50
292,CHURN,2020-08-08,BASIC,50
293,initial,2022-01-01,PRO,100
293,UPGRADE,2022-07-01,MAX,150
294,initial,2021-04-01,PRO,100
294,UPGRADE,2022-03-01,MAX,150
294,CHURN,2022-04-01,PRO,100
295,initial,2020-06-01,BASIC,50
295,UPGRADE,2020-11-01,MAX,150
296,initial,2020-01-01,BASIC,50
296,CHURN,2020-08-01,BASIC,50
297,initial,2022-09-01,BASIC,50
298,initial,2022-04-01,BASIC,50
299,initial,2020-12-01,MAX,150
299,REDUCTION,2021-05-01,PRO,100
300,initial,2020-08-01,PRO,100
300,UPGRADE,2021-10-01,MAX,150
301,initial,2020-03-01,BASIC,50
301,UPGRADE,2022-11-01,MAX,150
302,initial,2021-11-01,MAX,150
302,REDUCTION,2022-07-01,PRO,100
303,initial,2020-11-01,BASIC,50
303,CHURN,2021-02-01,BASIC,50
304,initial,2021-05-01,MAX,150
"""305""",initial,2020-07-01,BASIC,50
305,UPGRADE,2020-10-01,MAX,150
306,initial,2022-10-01,PRO,100
306,CHURN,2023-02-13,PRO,100
307,initial,2020-08-01,PRO,100
307,UPGRADE,2022-03-01,MAX,150
308,initial,2022-06-01,PRO,100
"""308""",UPGRADE,2022-09-01,MAX,150
"""309""",initial,2020-02-01,MAX,150
309,REDUCTION,2020-10-01,BASIC,50
310,initial,2020-06-01,PRO,100
310,UPGRADE,2022-06-01,MAX,150
310,CHURN,2022-10-01,MAX,150
311,initial,2021-06-01,PRO,100
311,REDUCTION,2022-05-01,BASIC,50
312,initial,2021-06-01,PRO,100
312,UPGRADE,2022-09-01,MAX,150
313,initial,2020-06-01,BASIC,50
313,UPGRADE,2022-03-01,MAX,150
314,initial,2021-08-01,BASIC,50
314,CHURN,2021-11-01,BASIC,50
315,initial,2021-05-01,PRO,100
315,REDUCTION,2021-08-01,BASIC,50
316,initial,2021-12-01,BASIC,50
316,UPGRADE,2022-06-01,PRO,100
317,initial,2020-05-01,BASIC,50
317,UPGRADE,2021-07-01,MAX,150
318,initial,2021-11-01,MAX,150
318,REDUCTION,2022-05-01,BASIC,50
"""319""",initial,2022-09-01,BASIC,50
319,CHURN,2023-02-17,BASIC,50
320,initial,2022-05-01,PRO,100
320,REDUCTION,2022-06-01,BASIC,50
321,initial,2020-09-01,BASIC,50
321,UPGRADE,2021-01-01,MAX,150
321,CHURN,2021-01-01,BASIC,50
322,initial,2020-02-01,PRO,100
322,UPGRADE,2021-02-01,MAX,150
323,initial,2020-08-01,PRO,100
323,UPGRADE,2022-01-01,MAX,150
324,initial,2022-03-01,MAX,150
325,initial,2022-04-01,PRO,100
326,initial,2021-11-01,PRO,100
326,UPGRADE,2022-02-01,MAX,150
326,CHURN,2022-07-01,MAX,150
327,initial,2021-08-01,PRO,100
327,REDUCTION,2021-11-01,BASIC,50
328,initial,2020-02-01,MAX,150
328,REDUCTION,2021-10-01,PRO,100
329,initial,2021-09-01,BASIC,50
329,CHURN,2022-03-01,BASIC,50
330,initial,2020-03-01,BASIC,50
330,UPGRADE,2021-10-01,MAX,150
330,CHURN,2022-06-01,MAX,150
331,initial,2022-01-01,MAX,150
332,initial,2020-05-01,PRO,100
332,UPGRADE,2022-04-01,MAX,150
333,initial,2020-10-01,PRO,100
333,CHURN,2021-09-01,PRO,100
334,initial,2021-01-01,PRO,100
334,REDUCTION,2021-11-01,BASIC,50
335,initial,2020-06-01,MAX,150
"""335""",REDUCTION,2020-09-01,BASIC,50
335,CHURN,2020-09-15,BASIC,50
336,initial,2020-06-01,PRO,100
336,UPGRADE,2021-07-01,MAX,150
336,CHURN,2022-02-01,MAX,150
337,initial,2022-10-01,MAX,150
338,initial,2022-08-01,BASIC,50
339,initial,2021-12-01,BASIC,50
339,CHURN,2022-08-01,BASIC,50
340,initial,2020-01-01,BASIC,50
340,CHURN,2020-06-01,BASIC,50
341,initial,2022-02-01,BASIC,50
341,UPGRADE,2022-11-01,PRO,100
342,initial,2021-12-01,BASIC,50
343,initial,2020-08-01,MAX,150
343,REDUCTION,2022-03-01,BASIC,50
344,initial,2022-04-01,MAX,150
344,REDUCTION,2022-10-01,PRO,100
345,initial,2020-11-01,PRO,100
345,CHURN,2021-11-01,PRO,100
346,initial,2021-12-01,BASIC,50
347,initial,2020-06-01,PRO,100
347,UPGRADE,2021-07-01,MAX,150
348,initial,2020-09-01,BASIC,50
348,UPGRADE,2021-03-01,PRO,100
349,initial,2020-12-01,BASIC,50
350,initial,2022-12-01,BASIC,50
351,initial,2020-12-01,MAX,150
351,REDUCTION,2021-03-01,PRO,100
352,initial,2020-08-01,BASIC,50
353,initial,2021-12-01,BASIC,50
353,CHURN,2022-04-01,BASIC,50
354,initial,2020-04-01,MAX,150
354,REDUCTION,2021-09-01,PRO,100
"""354""",CHURN,2022-06-01,PRO,100
355,initial,2020-02-01,BASIC,50
355,UPGRADE,2021-03-01,MAX,150
356,initial,2022-02-01,PRO,100
356,REDUCTION,2022-08-01,BASIC,50
"""357""",initial,2021-01-01,PRO,100
357,REDUCTION,2022-09-01,BASIC,50
358,initial,2020-03-01,PRO,100
358,UPGRADE,2021-04-01,MAX,150
358,CHURN,2021-08-01,MAX,150
359,initial,2020-11-01,MAX,150
359,REDUCTION,2021-09-01,PRO,100
"""360""",initial,2020-08-01,BASIC,50
360,CHURN,2021-03-01,BASIC,50
361,initial,2020-07-01,BASIC,50
361,UPGRADE,2021-09-01,PRO,100
362,initial,2020-07-01,MAX,150
362,REDUCTION,2021-09-01,PRO,100
363,initial,2020-11-01,PRO,100
"""363""",REDUCTION,2022-05-01,BASIC,50
364,initial,2021-11-01,PRO,100
365,initial,2020-05-01,BASIC,50
365,UPGRADE,2021-07-01,PRO,100
365,CHURN,2022-01-01,PRO,100
"""366""",initial,2020-07-01,MAX,150
366,REDUCTION,2021-06-01,BASIC,50
367,initial,2021-01-01,BASIC,50
368,initial,2022-12-01,PRO,100
369,initial,2022-10-01,BASIC,50
370,initial,2020-11-01,PRO,100
370,REDUCTION,2021-06-01,BASIC,50
371,initial,2022-03-01,PRO,100
372,initial,2021-03-01,PRO,100
372,REDUCTION,2021-09-01,BASIC,50
"""373""",initial,2021-11-01,MAX,150
373,REDUCTION,2022-10-01,PRO,100
374,initial,2022-05-01,MAX,150
375,initial,2020-07-01,BASIC,50
375,CHURN,2020-12-01,BASIC,50
376,initial,2020-04-01,MAX,150
376,REDUCTION,2021-03-01,BASIC,50
376,CHURN,2021-03-26,BASIC,50
377,initial,2020-10-01,PRO,100
377,UPGRADE,2022-04-01,MAX,150
378,initial,2020-01-01,PRO,100
378,CHURN,2020-12-01,PRO,100
379,initial,2022-10-01,BASIC,50
380,initial,2020-08-01,MAX,150
380,REDUCTION,2021-06-01,PRO,100
380,CHURN,2022-04-01,PRO,100
381,initial,2022-05-01,MAX,150
382,initial,2021-08-01,PRO,100
