cust_id,customer_gender,age_group,customer_country,referral_type
377,Female,45-54,Norway,Organic Search
378,Male,18-24,Sweden,Bing
379,Female,18-24,Sweden,facebook
380,Female,35-44,Denmark,Organic Search
381,Female,55-65,Denmark,Paid Search
382,Male,45-54,Norway,Organic Search
383,Male,45-54,Norway,Organic Search
384,Male,25-34,Sweden,Paid Search
385,Female,35-44,Denmark,Google Ads
386,Other,55-65,Norway,Unknown
387,Female,25-34,Norway,Google Ads
388,Male,45-54,Norway,Display
389,Male,18-24,Sweden,Google Ads
390,Female,25-34,Sweden,Unknown
391,Female,25-34,Denmark,facebook
392,Female,18-24,Sweden,Organic Search
393,Male,55-65,Norway,Display
394,Female,35-44,Norway,Google Ads
395,Female,18-24,Norway,facebook
396,Male,18-24,Sweden,Google Ads
397,Female,25-34,Sweden,Unknown
398,Female,18-24,Denmark,facebook
399,Female,25-34,Denmark,Google Ads
400,Male,45-54,Norway,Google Ads
401,Other,45-54,Norway,Unknown
402,Female,55-65,Norway,Unknown
403,Other,35-44,Denmark,Google Ads
404,Male,18-24,Finland,Google Ads
405,Female,25-34,Norway,Google Ads
406,Female,55-65,Denmark,Google Ads
407,Male,25-34,Finland,Google Ads
408,Male,45-54,Finland,Paid Search
409,Female,25-34,Finland,Google Ads
410,Male,45-54,Norway,Display
411,Male,45-54,Norway,Organic Search
412,Female,25-34,Sweden,Google Ads
413,Male,45-54,Norway,facebook
414,Female,25-34,Sweden,Organic Search
415,Other,25-34,Denmark,Paid Search
416,Female,55-65,Norway,TV
417,Female,55-65,Sweden,Google Ads
418,Male,35-44,Sweden,facebook
419,Male,25-34,Denmark,TV
420,Female,18-24,Sweden,facebook
421,Male,35-44,Norway,Google Ads
422,Female,25-34,Sweden,facebook
423,Female,25-34,Norway,Google Ads
424,Female,45-54,Norway,Paid Search
425,Female,35-44,Norway,Unknown
426,Female,45-54,Denmark,Paid Search
427,Female,45-54,Finland,Google Ads
428,Other,18-24,Norway,facebook
429,Female,25-34,Sweden,facebook
430,Male,25-34,Norway,TV
431,Female,45-54,Denmark,Unknown
432,Female,25-34,Norway,Google Ads
433,Male,35-44,Sweden,facebook
434,Female,18-24,Sweden,facebook
435,Female,18-24,Sweden,Unknown
436,Female,18-24,Sweden,Unknown
437,Male,25-34,Norway,Google Ads
438,Male,35-44,Denmark,Organic Search
439,Male,55-65,Finland,Organic Search
440,Male,35-44,Finland,Google Ads
441,Female,35-44,Finland,Paid Search
442,Female,18-24,Sweden,facebook
443,Other,25-34,Denmark,Google Ads
444,Female,18-24,Finland,Paid Search
445,Other,18-24,Norway,facebook
446,Other,18-24,Denmark,Google Ads
447,Female,35-44,Denmark,Paid Search
448,Female,18-24,Sweden,Google Ads
449,Male,18-24,Denmark,Google Ads
450,Female,35-44,Norway,Organic Search
451,Female,45-54,Sweden,facebook
452,Female,45-54,Norway,TV
453,Female,18-24,Sweden,facebook
454,Male,45-54,Norway,Google Ads
455,Female,45-54,Finland,Google Ads
456,Female,55-65,Sweden,facebook
457,Male,35-44,Norway,Google Ads
458,Female,45-54,Finland,Google Ads
459,Female,18-24,Finland,Unknown
460,Female,18-24,Sweden,TV
461,Female,25-34,Sweden,Google Ads
462,Male,35-44,Sweden,Google Ads
463,Female,18-24,Norway,facebook
464,Male,18-24,Finland,Paid Search
465,Male,55-65,Denmark,Google Ads
466,Female,45-54,Norway,Display
467,Female,25-34,Sweden,Google Ads
468,Female,18-24,Norway,facebook
469,Female,35-44,Sweden,Google Ads
470,Male,35-44,Norway,Unknown
471,Male,55-65,Norway,facebook
472,Male,25-34,Sweden,TV
473,Female,35-44,Norway,Google Ads
474,Male,55-65,Sweden,Paid Search
475,Female,35-44,Sweden,Google Ads
476,Male,45-54,Finland,Google Ads
477,Male,55-65,Denmark,facebook
478,Male,35-44,Norway,facebook
479,Female,45-54,Denmark,facebook
480,Female,55-65,Norway,TV
481,Female,35-44,Sweden,facebook
482,Female,35-44,Sweden,facebook
483,Female,45-54,Norway,facebook
484,Male,35-44,Sweden,facebook
485,Female,35-44,Sweden,facebook
486,Male,18-24,Sweden,Paid Search
487,Male,45-54,Sweden,Google Ads
488,Male,55-65,Finland,Unknown
489,Other,18-24,Sweden,facebook
490,Other,35-44,Denmark,Google Ads
491,Male,45-54,Norway,Google Ads
492,Female,45-54,Sweden,facebook
493,Male,18-24,Norway,facebook
494,Female,18-24,Norway,facebook
495,Male,18-24,Finland,Display
496,Female,25-34,Sweden,Organic Search
497,Male,25-34,Finland,facebook
498,Male,35-44,Finland,Google Ads
499,Male,55-65,Denmark,Organic Search
500,Female,45-54,Finland,Paid Search
501,Male,35-44,Finland,Organic Search
502,Female,18-24,Sweden,Google Ads
503,Male,18-24,Sweden,Google Ads
504,Male,25-34,Sweden,Display
505,Male,18-24,Denmark,Paid Search
506,Male,18-24,Denmark,facebook
507,Male,65-55,Sweden,Organic Search
508,Female,35-44,Sweden,facebook
509,Female,45-54,Finland,Google Ads
510,Female,25-34,Sweden,Paid Search
511,Female,35-44,Sweden,Paid Search
512,Other,55-65,Finland,Display
513,Other,45-54,Finland,Paid Search
514,Other,18-24,Denmark,Google Ads
515,Female,35-44,Sweden,Paid Search
516,Female,55-65,Norway,Unknown
517,Male,45-54,Finland,Google Ads
518,Male,35-44,Finland,Google Ads
519,Other,35-44,Denmark,Unknown
520,Male,45-54,Denmark,Unknown
521,Female,18-24,Denmark,Google Ads
522,Female,35-44,Sweden,facebook
523,Female,55-65,Finland,Paid Search
524,Male,25-34,Denmark,facebook
525,Female,25-34,Sweden,Google Ads
526,Male,35-44,Finland,Google Ads
527,Female,55-65,Finland,Paid Search
528,Male,35-44,Sweden,Google Ads
529,Male,25-34,Sweden,Google Ads
530,Female,25-34,Denmark,Google Ads
531,Male,45-54,Norway,facebook
532,Female,25-34,Norway,Google Ads
533,Male,18-24,Norway,Paid Search
534,Female,18-24,Norway,Unknown
535,Male,18-24,Denmark,Organic Search
536,Male,18-24,Finland,Organic Search
537,Female,35-44,Sweden,Google Ads
538,Female,55-65,Norway,facebook
539,Female,25-34,Norway,Google Ads
540,Male,45-54,Norway,Google Ads
541,Female,55-65,Sweden,facebook
542,Male,18-24,Finland,Paid Search
543,Female,45-54,Norway,Google Ads
544,Male,55-65,Sweden,facebook
545,Other,18-24,Denmark,Google Ads
546,Female,45-54,Denmark,Organic Search
547,Female,18-24,Finland,Google Ads
548,Male,18-24,Norway,Paid Search
549,Male,25-34,Norway,Organic Search
550,Female,18-24,Norway,TV
551,Male,18-24,Finland,Google Ads
552,Male,45-54,Norway,Display
553,Female,45-54,Sweden,Google Ads
554,Female,55-65,Norway,Display
555,Male,55-65,Sweden,Google Ads
556,Other,55-65,Denmark,Unknown
557,Female,35-44,Finland,Google Ads
558,Female,35-44,Sweden,Organic Search
559,Male,45-54,Sweden,facebook
560,Male,45-54,Sweden,Unknown
561,Male,35-44,Denmark,Google Ads
562,Female,25-34,Sweden,Google Ads
563,Male,45-54,Denmark,Google Ads
564,Female,45-54,Sweden,facebook
565,Female,55-65,Sweden,Google Ads
566,Male,25-34,Sweden,Unknown
567,Female,55-65,Finland,Google Ads
568,Female,25-34,Norway,Paid Search
569,Female,55-65,Sweden,Google Ads
570,Male,35-44,Denmark,Unknown
571,Female,18-24,Norway,facebook
572,Female,25-34,Sweden,Google Ads
573,Female,35-44,Norway,Google Ads
574,Female,45-54,Finland,Google Ads
575,Female,55-65,Finland,facebook
576,Female,45-54,Sweden,Unknown
577,Female,18-24,Sweden,facebook
578,Female,18-24,Norway,facebook
579,Female,55-65,Sweden,Display
580,Female,25-34,Finland,facebook
581,Male,18-24,Norway,Google Ads
582,Male,35-44,Norway,TV
583,Male,45-54,Sweden,Unknown
584,Male,25-34,Finland,Google Ads
585,Female,25-34,Finland,facebook
586,Male,18-24,Norway,facebook
587,Male,35-44,Sweden,TV
588,Other,45-54,Sweden,Google Ads
589,Female,45-54,Finland,Google Ads
590,Male,18-24,Sweden,Google Ads
591,Female,18-24,Sweden,Google Ads
592,Female,35-44,Norway,Google Ads
593,Female,18-24,Denmark,facebook
594,Male,55-65,Sweden,TV
595,Female,55-65,Denmark,facebook
596,Male,18-24,Finland,Google Ads
597,Male,45-54,Sweden,facebook
598,Female,35-44,Denmark,Google Ads
599,Female,55-65,Denmark,Unknown
600,Female,35-44,Finland,Display
601,Female,55-65,Norway,Display
602,Female,25-34,Norway,Google Ads
603,Male,35-44,Denmark,Paid Search
604,Female,18-24,Norway,Bing
605,Other,18-24,Norway,facebook
606,Female,35-44,Finland,Organic Search
607,Female,18-24,Norway,facebook
608,Female,45-54,Finland,Google Ads
609,Female,55-65,Finland,Paid Search
610,Other,45-54,Denmark,Google Ads
611,Female,25-34,Denmark,Google Ads
612,Female,55-65,Finland,Paid Search
613,Male,18-24,Denmark,facebook
614,Female,35-44,Sweden,facebook
615,Other,45-54,Denmark,Organic Search
616,Other,35-44,Finland,Google Ads
617,Male,18-24,Norway,Display
618,Male,18-24,Sweden,facebook
619,Female,18-24,Sweden,TV
620,Male,35-44,Norway,Organic Search
621,Female,45-54,Denmark,facebook
622,Female,55-65,Norway,Google Ads
623,Female,18-24,Finland,facebook
624,Male,25-34,Finland,Organic Search
625,Female,45-54,Sweden,Organic Search
626,Female,35-44,Sweden,Paid Search
627,Female,25-34,Denmark,facebook
628,Female,45-54,Sweden,facebook
629,Male,25-34,Sweden,facebook
630,Female,18-24,Denmark,Unknown
631,Male,18-24,Norway,facebook
632,Male,35-44,Denmark,Google Ads
633,Female,45-54,Denmark,facebook
634,Female,18-24,Sweden,Google Ads
635,Male,55-65,Denmark,Google Ads
636,Female,25-34,Denmark,Organic Search
637,Female,18-24,Sweden,Google Ads
638,Other,25-34,Finland,Google Ads
639,Male,25-34,Denmark,Google Ads
640,Male,45-54,Norway,Google Ads
641,Male,35-44,Sweden,facebook
642,Female,18-24,Denmark,facebook
643,Male,35-44,Sweden,Google Ads
644,Female,18-24,Sweden,facebook
645,Female,25-34,Sweden,Google Ads
646,Female,18-24,Finland,Unknown
647,Other,35-44,Sweden,facebook
648,Female,45-54,Sweden,facebook
649,Female,35-44,Sweden,Google Ads
650,Female,55-65,Sweden,Organic Search
651,Other,25-34,Sweden,Google Ads
652,Male,55-65,Denmark,Unknown
653,Female,45-54,Sweden,Google Ads
654,Female,25-34,Sweden,Organic Search
655,Male,55-65,Sweden,Google Ads
656,Female,18-24,Sweden,Google Ads
657,Female,55-65,Sweden,Bing
658,Male,55-65,Denmark,Unknown
659,Male,18-24,Norway,facebook
660,Female,18-24,Sweden,facebook
661,Female,18-24,Denmark,Paid Search
662,Male,18-24,Denmark,facebook
663,Female,45-54,Norway,Google Ads
664,Male,35-44,Sweden,Google Ads
665,Male,18-24,Sweden,Paid Search
666,Female,18-24,Sweden,Organic Search
667,Male,25-34,Norway,Unknown
668,Male,55-65,Sweden,facebook
669,Male,25-34,Finland,Google Ads
670,Male,18-24,Norway,Google Ads
671,Male,35-44,Sweden,Google Ads
672,Male,45-54,Denmark,facebook
673,Female,35-44,Norway,Google Ads
674,Female,35-44,Finland,Google Ads
675,Male,18-24,Finland,Google Ads
676,Female,45-54,Norway,facebook
677,Male,55-65,Sweden,Paid Search
678,Female,35-44,Norway,TV
679,Male,45-54,Sweden,Google Ads
680,Female,35-44,Finland,Unknown
681,Male,18-24,Norway,facebook
682,Male,25-34,Sweden,Paid Search
683,Female,45-54,Norway,facebook
684,Male,45-54,Norway,Google Ads
685,Male,35-44,Sweden,facebook
686,Female,25-34,Sweden,TV
687,Female,18-24,Sweden,Google Ads
688,Female,45-54,Denmark,Bing
689,Female,45-54,Sweden,Paid Search
690,Female,18-24,Sweden,Google Ads
691,Female,55-65,Finland,Paid Search
692,Male,25-34,Denmark,Google Ads
693,Female,45-54,Denmark,Google Ads
694,Male,55-65,Sweden,facebook
695,Male,45-54,Norway,facebook
696,Male,55-65,Sweden,facebook
697,Other,18-24,Sweden,facebook
698,Female,55-65,Denmark,Google Ads
699,Female,55-65,Sweden,Google Ads
700,Female,35-44,Sweden,facebook
701,Female,25-34,Denmark,Organic Search
702,Female,25-34,Sweden,facebook
703,Male,35-44,Sweden,Unknown
704,Female,55-65,Sweden,Google Ads
705,Female,25-34,Sweden,Paid Search
706,Female,65-55,Finland,facebook
707,Male,35-44,Finland,Google Ads
708,Female,25-34,Norway,Google Ads
709,Male,18-24,Denmark,facebook
710,Female,35-44,Denmark,Google Ads
711,Female,25-34,Denmark,Google Ads
712,Female,18-24,Denmark,Unknown
713,Female,45-54,Finland,Paid Search
714,Male,25-34,Sweden,Google Ads
715,Other,35-44,Sweden,Organic Search
716,Female,18-24,Denmark,Google Ads
717,Female,35-44,Sweden,Google Ads
718,Male,18-24,Finland,facebook
719,Female,18-24,Sweden,Google Ads
720,Male,55-65,Finland,Google Ads
721,Female,35-44,Denmark,TV
722,Female,18-24,Norway,Google Ads
723,Female,65-55,Denmark,Google Ads
724,Female,35-44,Sweden,Google Ads
725,Female,18-24,Sweden,Google Ads
726,Female,45-54,Norway,Organic Search
727,Male,25-34,Finland,Google Ads
728,Female,55-65,Sweden,Unknown
729,Female,18-24,Sweden,Paid Search
730,Female,25-34,Finland,Organic Search
731,Male,18-24,Sweden,Unknown
732,Female,25-34,Sweden,Paid Search
733,Female,18-24,Finland,facebook
734,Male,45-54,Sweden,facebook
735,Female,25-34,Norway,facebook
736,Female,55-65,Finland,facebook
737,Male,18-24,Sweden,Google Ads
738,Female,18-24,Denmark,Google Ads
739,Male,35-44,Sweden,facebook
740,Male,18-24,Denmark,Google Ads
741,Other,45-54,Sweden,facebook
742,Female,45-54,Denmark,Google Ads
743,Female,18-24,Sweden,Google Ads
744,Female,18-24,Denmark,Unknown
745,Female,55-65,Norway,Paid Search
